,Lambda,Alpha,W,D,J,Distance
0,0.0,[1.14000e-04 9.99773e-01 1.14000e-04],2.2885,5e-06,5e-06,2.2885
1,0.1,[0.28832  0.423361 0.28832 ],0.691338,0.011714,0.079676,0.691437
2,0.2,[0.289908 0.420184 0.289908],0.690911,0.011777,0.147604,0.691011
3,0.3,[0.291335 0.41733  0.291335],0.690699,0.011834,0.215493,0.6908
4,0.4,[0.292078 0.415845 0.292078],0.690653,0.011863,0.283379,0.690755
5,0.5,[0.291943 0.416114 0.291943],0.690658,0.011858,0.351258,0.69076
6,0.6,[0.29221 0.41558 0.29221],0.69065,0.011868,0.419137,0.690752
7,0.7,[0.292221 0.415558 0.292221],0.69065,0.011869,0.487015,0.690752
8,0.8,[0.292479 0.415043 0.292479],0.690647,0.011879,0.554893,0.690749
9,0.9,[0.292321 0.415358 0.292321],0.690648,0.011873,0.62277,0.69075
10,1.0,[0.292457 0.415086 0.292457],0.690647,0.011878,0.690647,0.690749
